3664940.76401,5009571.01868,1409153.44681 
3664940.76458,5009571.01947,1409153.44703 
3664940.76630,5009571.02184,1409153.44769 
3664940.76917,5009571.02578,1409153.44879 
3664940.77031,5009571.02736,1409153.44923 
3664940.76573,5009571.02105,1409153.44747 
3664940.76802,5009571.02421,1409153.44835 
3664940.77089,5009571.02815,1409153.44945 
3664940.76859,5009571.02500,1409153.44857 
3664940.76745,5009571.02342,1409153.44813 
3664940.76917,5009571.02578,1409153.44879 
3664940.76802,5009571.02421,1409153.44835 
